date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01 00:00:00,15.2,9.9,19.2,0,,,6.5,,1024,
2025-01-02 00:00:00,14.6,8,20.2,0,,,5.3,,1024.8,
2025-01-03 00:00:00,16.2,8.8,22.6,0,,,5.3,,1026.2,
2025-01-04 00:00:00,17.1,11.6,22.3,0,,,4.3,,1024.7,
2025-01-05 00:00:00,16.2,11.5,23,0.7,,,10,,1018.6,
2025-01-06 00:00:00,16.2,13.9,20,21.7,,,11.1,,1018.1,
2025-01-07 00:00:00,15.1,10.7,19.4,0.5,,,6.4,,1023,
2025-01-08 00:00:00,16.9,10.7,22.8,0,,,6,,1023.7,
2025-01-09 00:00:00,16.9,11,21.9,0,,,4.8,,1026,
2025-01-10 00:00:00,17.2,12.3,20.4,0,,,7.1,,1027.4,
2025-01-11 00:00:00,17.2,13.5,19.4,0,,,8.3,,1028.9,
2025-01-12 00:00:00,18.2,14.1,20.2,0,,,7.4,,1026.3,
2025-01-13 00:00:00,15.9,12,18.3,0,,,8.7,,1022.8,
2025-01-14 00:00:00,13.2,9.4,17,0,,,10.7,,1021.3,
2025-01-15 00:00:00,13.4,8.4,16.4,0,,,8.1,,1023.1,
2025-01-16 00:00:00,14.2,8,18,0,,,7.5,,1023.9,
2025-01-17 00:00:00,15.4,12.7,19,0,,,7.1,,1022.4,
2025-01-18 00:00:00,14,10,17.2,0,,,5.2,,1022.5,
2025-01-19 00:00:00,14.9,8.4,18.5,0,,,6.6,,1021.2,
2025-01-20 00:00:00,15.5,11.1,22,0,,,8,,1018.8,
2025-01-21 00:00:00,19.6,12.4,25.7,0,,,7.8,,1014.7,
2025-01-22 00:00:00,19.7,15.6,24.6,0,,,10,,1012.4,
2025-01-23 00:00:00,19,14,22.4,0,,,8.5,,1016.7,
2025-01-24 00:00:00,16.6,12,20.2,0,,,5.6,,1020.8,
2025-01-25 00:00:00,16.3,11.8,20.2,0.3,,,5.5,,1022.2,
2025-01-26 00:00:00,16.9,12,22.5,0,,,7.9,,1023.9,
2025-01-27 00:00:00,17.7,13,22,0,,,10.1,,1025.5,
