date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,14.5,7.4,21.4,0.1,,,7.1,,1020.6,
2024-01-02 00:00:00,12.4,4,20,0,,,5.9,,1021.6,
2024-01-03 00:00:00,13.1,4.7,24,0,,,5.2,,1021.2,
2024-01-04 00:00:00,13.6,5.4,19,15.6,,,7.3,,1018.1,
2024-01-05 00:00:00,15.6,9,18,9.7,,,13.1,,1018.3,
2024-01-06 00:00:00,10.8,6,17.1,0,,,5.9,,1021.5,
2024-01-07 00:00:00,10.2,5.6,17,0,,,7.7,,1021.3,
2024-01-08 00:00:00,9.8,1.8,19,0,,,4.4,,1019.8,
2024-01-09 00:00:00,13.3,5,21,5,,,7.2,,1018.3,
2024-01-10 00:00:00,15.7,10,19.5,3,,,4.1,,1019.7,
2024-01-11 00:00:00,12.9,7.8,20.1,0,,,7.6,,1018.6,
2024-01-12 00:00:00,15.6,5.4,26,0,,,6.2,,1017.9,
2024-01-13 00:00:00,18.8,12.9,29,0,,,10.5,,1020.2,
2024-01-14 00:00:00,15.3,6.7,28,0,,,4.6,,1021,
2024-01-15 00:00:00,17,11,26,0,,,7.2,,1019.6,
2024-01-16 00:00:00,16.7,9.7,25,2.3,,,13.2,,1016.2,
2024-01-17 00:00:00,19.1,12,22,0,,,20.2,,1014.2,
2024-01-18 00:00:00,15.2,8.9,22,0,,,5.7,,1014.1,
2024-01-19 00:00:00,16.4,13,19,5.1,,,22.7,,1013.7,
2024-01-20 00:00:00,13.1,7.6,18.2,0.3,,,7.8,,1023,
2024-01-21 00:00:00,10.9,4,19.4,0,,,7.2,,1028.1,
2024-01-22 00:00:00,10.6,2.5,20,0,,,6.8,,1031.1,
2024-01-23 00:00:00,10.6,2,20,0,,,3.2,,1031.6,
2024-01-24 00:00:00,11,3,20,0,,,3.2,,1030.6,
2024-01-25 00:00:00,12.4,4.7,22,0,,,3.7,,1028.2,
2024-01-26 00:00:00,11.3,4,21,0,,,2.4,,1027.1,
2024-01-27 00:00:00,11.8,4.7,22,0,,,4,,1025.3,
2024-01-28 00:00:00,12.4,4.2,24,0,,,3.3,,1023.5,
2024-01-29 00:00:00,13.2,4.8,24,0,,,3.9,,1024.3,
2024-01-30 00:00:00,13.8,4,24.1,0,,,5.5,,1025.1,
2024-01-31 00:00:00,13.2,4.5,23.1,0,,,5,,1025.9,
2024-02-01 00:00:00,10.9,3,20.2,0,,,3,,1027.6,
2024-02-02 00:00:00,11.4,3,19,0,,,3.6,,1026.6,
2024-02-03 00:00:00,11.8,4.7,19,0.3,,,3.5,,1025.5,
2024-02-04 00:00:00,11.7,3.8,20,0,,,4.6,,1026.9,
2024-02-05 00:00:00,13,8,19,0,,,3.3,,1027.9,
2024-02-06 00:00:00,12.3,6.3,19,0,,,5.1,,1028.1,
2024-02-07 00:00:00,12.2,3.2,21.1,0,,,5.5,,1025.6,
2024-02-08 00:00:00,16.7,6.1,25,0.1,,,15.6,,1016.7,
2024-02-09 00:00:00,16.1,12.7,21,61.5,,,31,,1005.4,
2024-02-10 00:00:00,16.7,14,19,9.1,,,19.4,,1010.5,
2024-02-11 00:00:00,17,13,22,13.5,,,16.3,,1016.8,
2024-02-12 00:00:00,18.2,16,22,0,,,9.7,,1020.6,
2024-02-13 00:00:00,16.6,13,22,0,,,7.7,,1020.7,
2024-02-14 00:00:00,20.8,10,33.3,0.3,,,5,,1016.5,
2024-02-15 00:00:00,19.3,16.3,23.5,0,,,15.9,,1018.9,
2024-02-16 00:00:00,15.2,9.8,20,0,,,8.2,,1025.1,
2024-02-17 00:00:00,14.1,8.6,20,0,,,8,,1027.2,
